name,time,price,rsi,sharpe,action
PBI,2019/10/31,4.35388,43.2646,0.0621545,buy
CIO,2019/11/08,13.3,42.6996,0.0306715,buy
GFF,2019/11/29,21.22,47.4169,0.0190764,buy
ALE,2019/10/02,85.5388,46.1888,-0.0610784,buy
FXU,2019/11/04,29.1109,49.5439,0.0365078,buy
YUM,2019/10/15,110.826,41.0372,-0.0635235,buy
XTL,2019/12/03,67.86,46.2642,0.0237583,buy
GNL,2019/12/12,19.86,46.4538,0.122961,buy
AMBA,2019/11/21,54.45,43.6907,0.0728808,buy
GWR,2019/12/05,111.13,44.9554,-0.109876,buy
TISI,2019/11/05,17.38,43.1824,0.0690183,buy
GWRE,2019/12/06,110.77,36.1322,-0.0647423,buy
CSGS,2019/12/11,55.54,46.9731,-0.0357286,buy
MORN,2019/10/24,145.78,38.7669,-0.029029,buy
TWLO,2019/12/02,97.65,41.1082,0.0242759,buy
TRGP,2019/11/13,38.33,43.8773,0.0328662,buy
INS,2019/12/04,41.31,41.5974,0.0101909,buy
CLB,2019/11/18,44.66,46.3398,0.110752,buy
ANIK,2019/11/20,58.5,43.3091,0.0641953,buy
AFL,2019/12/02,52.68,39.614,-0.0547257,buy
D,2019/12/02,81.0837,49.1813,-0.0937593,buy
JDST,2019/11/29,14.12,43.4159,0.0737717,buy
PTC,2019/12/12,73.44,48.3999,-0.0411844,buy
BSV,2019/12/12,80.49,46.0771,0.0251328,buy
SITE,2019/12/10,86.35,46.0207,-0.238837,buy
IEI,2019/12/12,125.57,41.546,-0.0222769,buy
ANIP,2019/11/06,60.17,21.8919,-0.124693,buy
MJ,2019/05/09,33.4242,39.5054,-0.159494,buy
NWBI,2019/11/18,16.75,47.9089,-0.228918,buy
AWK,2019/12/12,118.43,40.9861,0.0777948,buy
TRVG,2019/09/05,4.53,43.9652,-0.0688614,buy
EOLS,2019/11/04,15.37,44.2032,0.16435,buy
VNET,2019/11/13,7.93,44.3639,-0.18499,buy
KRG,2019/12/11,18.54,47.0304,0.1229,buy
COLD,2019/11/05,37.67,44.1517,0.0299687,buy
ANTE,2019/11/21,1.09,43.1277,-0.0728908,buy
NAV,2019/11/20,30.99,45.9136,0.0247406,buy
MKC,2019/12/12,166.46,46.7783,0.0953804,buy
JBSS,2019/11/29,97.74,48.5997,-0.344089,buy
JP,2019/12/09,1.73,39.6331,-0.250758,buy
ARE,2019/12/11,159.08,48.717,0.171173,buy
MAC,2019/12/13,26.05,39.412,-0.177759,buy
AMKR,2019/11/22,12.13,49.8595,0.100845,buy
VVV,2019/12/02,22.51,49.4853,0.223089,buy
CMCSA,2019/10/24,44.84,46.3036,0.0214102,buy
HFC,2019/11/06,53.0672,45.4301,0.0651265,buy
TLND,2019/12/11,36.5,45.8017,0.0950582,buy
ORCL,2019/12/02,55.43,44.6506,0.0749254,buy
TOUR,2019/11/15,2.95,34.5686,-0.122458,buy
SMTC,2019/11/18,50.7,45.6976,0.032324,buy
SPXS,2019/10/15,16.73,42.0296,0.0163661,buy
