name,time,price,rsi,sharpe,action
EWD,2019/10/02,27.92,34.4884,-0.0492626,buy
XLF,2019/10/02,26.7142,37.8558,0.0209794,buy
MCHI,2019/08/01,56.1435,32.5427,-0.337141,buy
EEM,2019/07/31,40.9036,36.6907,-0.350867,buy
EWC,2019/10/02,27.7101,34.939,-0.0671182,buy
EWJ,2018/10/10,56.0165,36.7569,0.0585808,buy
FXI,2019/07/31,40.3488,37.2221,-0.439629,buy
EWU,2019/10/02,29.6705,34.6742,-0.118755,buy
IWM,2019/10/01,147.831,39.3827,0.076418,buy
EFA,2019/10/02,62.5529,36.7941,-0.0834541,buy
EZA,2019/09/27,43.5549,38.1738,0.107889,buy
HYG,2017/03/08,74.829,35.4727,-0.0729592,buy
HYG,2017/03/30,75.9096,61.5444,-0.0139172,sell
EZA,2017/03/31,46.363,38.8653,-0.0471073,buy
EZA,2017/04/24,49.6981,60.658,-0.0484337,sell
ENZL,2017/03/07,37.2732,37.7593,-0.298182,buy
ENZL,2017/05/01,38.404,60.0318,0.126833,sell
LQD,2017/03/08,105.67,38.2089,-0.138646,buy
LQD,2017/05/12,108.69,62.5393,0.035699,sell
TLT,2017/03/08,109.709,39.1938,-0.146709,buy
TLT,2017/05/17,115.315,62.4333,-0.0301067,sell
GDX,2017/02/27,22.5455,37.67,-0.0311351,buy
GDX,2017/05/17,23.0687,60.3681,0.00596971,sell
GLD,2017/03/08,115.06,38.8346,-0.175023,buy
GLD,2017/06/02,121.61,63.7925,0.344047,sell
SPY,2017/08/10,232.409,39.0847,-0.0332759,buy
SPY,2017/09/01,236.299,60.9021,0.0167929,sell
UPRO,2017/08/10,34.9635,37.5157,-0.0449299,buy
UPRO,2017/09/01,36.602,60.321,0.0113244,sell
IWM,2017/05/17,130.123,38.6686,-0.0308184,buy
IWM,2017/09/01,136.147,60.6457,0.0170352,sell
EZA,2017/10/25,50.0347,39.202,0.0959047,buy
EZA,2017/11/17,52.8808,64.1776,0.0818023,sell
GDX,2017/07/03,21.203,38.1968,-0.150181,buy
GDX,2017/12/22,22.7743,62.6727,0.0481782,sell
EZA,2018/02/05,55.804,34.3533,-0.182382,buy
EZA,2018/02/15,64.1913,61.7133,0.0751611,sell
QQQ,2018/02/05,155.836,34.9846,-0.0914636,buy
QQQ,2018/02/26,167.939,63.1936,0.000795623,sell
TQQQ,2018/02/05,47.7453,34.291,-0.0943761,buy
TQQQ,2018/02/26,58.5592,62.2936,-0.00322344,sell
EWQ,2018/02/05,29.5845,32.1112,-0.124572,buy
EWQ,2018/04/10,30.6479,60.1015,0.0485162,sell
ENZL,2018/02/07,43.8143,39.8016,-0.109396,buy
ENZL,2018/04/10,47.085,60.9839,0.0703012,sell
EWD,2018/02/05,30.7777,31.4162,-0.137701,buy
EWD,2018/05/09,31.2164,61.7774,0.209351,sell
HYG,2018/06/28,78.5228,39.8391,0.0985043,buy
HYG,2018/07/12,79.1809,60.4963,0.0227109,sell
EWJ,2018/06/19,57.1341,33.8622,-0.288228,buy
EWJ,2018/07/25,57.4354,60.3087,0.0829779,sell
